ID,Accession,RPM,Chromosome,Start,End,Strand,Confidence,Fetch
"hsa-mir-4760",MI0017401,13.2,chr21,40212352,40212431,"-","-",""
"hsa-mir-4761",MI0017402,66.1,chr22,19963753,19963834,"+","-",""
"hsa-mir-4762",MI0017403,11.4,chr22,45760524,45760598,"+","-",""
"hsa-mir-4763",MI0017404,415,chr22,46113566,46113657,"+","-",""
"hsa-mir-4764",MI0017405,41.1,chr22,33436582,33436669,"-","-",""
"hsa-mir-4765",MI0017406,27,chr2,32635255,32635331,"+","-",""
"hsa-mir-4766",MI0017407,71.2,chr22,40813883,40813958,"-","-",""
"hsa-mir-4767",MI0017408,328,chrX,7147860,7147937,"+","-",""
"hsa-mir-4768",MI0017409,148,chrX,17425881,17425954,"+","-",""
"hsa-mir-4769",MI0017410,85.5,chrX,47587429,47587505,"+","-",""
"hsa-mir-4770",MI0017411,29.9,chrX,6383906,6383963,"-","-",""
"hsa-mir-4771-1",MI0017412,19.4,chr2,87194786,87194859,"+","-",""
"hsa-mir-4771-2",MI0017413,28.1,chr2,111771061,111771134,"-","-",""
"hsa-mir-4772",MI0017414,96.8,chr2,102432289,102432366,"+","-",""
"hsa-mir-4773-1",MI0017415,42.7,chr2,151368334,151368411,"+","-",""
"hsa-mir-4773-2",MI0017416,161,chr2,151368334,151368411,"-","-",""
"hsa-mir-4774",MI0017417,5.46,chr2,168582943,168583018,"+","-",""
"hsa-mir-4775",MI0017418,153,chr2,207754807,207754881,"+","-",""
"hsa-mir-4776-1",MI0017419,122,chr2,212926257,212926336,"+","-",""
"hsa-mir-4776-2",MI0017420,76.7,chr2,212926257,212926336,"-","-",""
"hsa-mir-4777",MI0017421,24.8,chr2,231362708,231362793,"+","-",""
"hsa-mir-4778",MI0017422,118,chr2,66358249,66358328,"-","-",""
"hsa-mir-4779",MI0017423,3.5,chr2,86193026,86193108,"-","-",""
"hsa-mir-4780",MI0017424,56.7,chr2,88082519,88082599,"-","-",""
"hsa-mir-4781",MI0017426,27.1,chr1,54054079,54054154,"+","-",""
"hsa-mir-4782",MI0017427,30.7,chr2,113721290,113721368,"-","-",""
"hsa-mir-4783",MI0017428,102,chr2,127423537,127423618,"-","-",""
"hsa-mir-4784",MI0017429,11.4,chr2,131491160,131491236,"-","-",""
"hsa-mir-4785",MI0017430,55.3,chr2,160407810,160407882,"-","-",""
"hsa-mir-4786",MI0017433,34.7,chr2,239943015,239943094,"-","-",""
"hsa-mir-4787",MI0017434,577,chr3,50675080,50675163,"+","",""
"hsa-mir-4788",MI0017435,47.7,chr3,134437827,134437906,"+","-",""
"hsa-mir-4789",MI0017436,37.5,chr3,175369540,175369621,"+","-",""
"hsa-mir-4790",MI0017437,121,chr3,5250177,5250255,"-","-",""
"hsa-mir-4791",MI0017438,161,chr3,19314848,19314931,"-","-",""
"hsa-mir-4792",MI0017439,"1.95e+03",chr3,24521362,24521435,"-","-",""
"hsa-mir-4793",MI0017440,52,chr3,48644194,48644280,"-","-",""
"hsa-mir-4794",MI0017441,0.149,chr1,64579847,64579923,"+","-",""
"hsa-mir-4795",MI0017442,30.1,chr3,87226189,87226277,"-","-",""
"hsa-mir-4796",MI0017443,13.5,chr3,114743445,114743525,"-","-",""
"hsa-mir-4797",MI0017444,19,chr3,197293878,197293948,"-","-",""
"hsa-mir-4798",MI0017445,1.82,chr4,7310450,7310524,"+","-",""
"hsa-mir-4799",MI0017446,10.1,chr4,147782595,147782668,"+","-",""
"hsa-mir-4800",MI0017448,280,chr4,2250077,2250156,"-","-",""
"hsa-mir-4801",MI0017449,85.4,chr4,37241910,37241991,"-","-",""
"hsa-mir-4802",MI0017450,21.8,chr4,40502040,40502119,"-","-",""
"hsa-mir-4803",MI0017451,7.43,chr5,72169467,72169540,"+","-",""
"hsa-mir-4804",MI0017452,43.7,chr5,72878591,72878663,"+","-",""
"hsa-mir-4999",MI0017865,21,chr19,8389290,8389380,"-","-",""
"hsa-mir-5000",MI0017866,"3.97e+03",chr2,75090812,75090914,"+","-",""
"hsa-mir-5001",MI0017867,53.3,chr2,232550474,232550573,"-","",""
"hsa-mir-5002",MI0017868,271,chr3,124132929,124133025,"+","-",""
"hsa-mir-5003",MI0017869,148,chr5,172662165,172662263,"+","-",""
"hsa-mir-5004",MI0017870,48.8,chr6,33438331,33438437,"+","-",""
"hsa-mir-5006",MI0017873,47.8,chr13,41568286,41568395,"-","-",""
"hsa-mir-5007",MI0017874,78.9,chr13,55174454,55174548,"+","-",""
"hsa-mir-5008",MI0017876,52.4,chr1,227941590,227941683,"-","-",""
"hsa-mir-5009",MI0017877,48.3,chr15,89883931,89884030,"-","-",""
"hsa-mir-5010",MI0017878,126,chr17,42514188,42514307,"+","",""
"hsa-mir-5011",MI0017879,"-",chr18,67081584,67081686,"+","-",""
"hsa-mir-5047",MI0017932,12.4,chr17,64501214,64501313,"-","-",""
"hsa-mir-5087",MI0017976,155,chr1,148334479,148334554,"-","-",""
"hsa-mir-5088",MI0017977,310,chr19,49682117,49682195,"+","-",""
"hsa-mir-5089",MI0017978,11.2,chr17,46973017,46973100,"+","-",""
"hsa-mir-5090",MI0017979,71.6,chr7,102465742,102465826,"+","-",""
"hsa-mir-5091",MI0017980,93.6,chr4,13627865,13627957,"+","-",""
"hsa-mir-5092",MI0017981,44.5,chr3,125151465,125151552,"-","-",""
"hsa-mir-5093",MI0017982,32.9,chr16,85306226,85306325,"-","-",""
"hsa-mir-5094",MI0017983,135,chr15,89850637,89850721,"-","-",""
"hsa-mir-5095",MI0018001,824,chr1,52934930,52935017,"+","-",""
"hsa-mir-5096",MI0018004,778,chr4,78820752,78820821,"+","-",""
"hsa-mir-5100",MI0019116,747,chr10,42997563,42997681,"+","-",""
"hsa-mir-5186",MI0018165,110,chr3,151565876,151565995,"-","-",""
"hsa-mir-5187",MI0018166,133,chr1,161227186,161227261,"+","-",""
"hsa-mir-5188",MI0018167,18.9,chr12,124915547,124915659,"+","-",""
"hsa-mir-5189",MI0018168,137,chr16,88468918,88469031,"+","-",""
"hsa-mir-5190",MI0018169,123,chr18,13459947,13460026,"+","-",""
"hsa-mir-5191",MI0018170,110,chr1,201719508,201719627,"+","-",""
"hsa-mir-5192",MI0018171,163,chr2,62205826,62205917,"+","-",""
"hsa-mir-5193",MI0018172,120,chr3,49806137,49806245,"-","-",""
"hsa-mir-5194",MI0018173,39.5,chr8,130008334,130008453,"-","-",""
"hsa-mir-5195",MI0018174,47,chr14,106850885,106850999,"-","-",""
"hsa-mir-5196",MI0018175,69.1,chr19,35345513,35345627,"+","",""
"hsa-mir-5197",MI0018176,38.8,chr5,143679860,143679971,"+","-",""
"hsa-mir-5571",MI0019115,280,chr22,22886267,22886379,"+","-",""
"hsa-mir-5572",MI0019117,224,chr15,80581103,80581239,"+","-",""
"hsa-mir-5579",MI0019133,47.8,chr11,79422169,79422226,"-","-",""
"hsa-mir-5580",MI0019135,9.62,chr14,53948427,53948484,"-","-",""
"hsa-mir-5581",MI0019136,32.6,chr1,37500935,37500994,"-","-",""
"hsa-mir-5582",MI0019138,24.8,chr11,46753125,46753192,"-","-",""
"hsa-mir-5583-1",MI0019139,"-",chr18,39676721,39676779,"+","-",""
"hsa-mir-5583-2",MI0019140,0.748,chr18,39676719,39676777,"-","-",""
"hsa-mir-5584",MI0019141,46.3,chr1,44545493,44545552,"+","-",""
"hsa-mir-5585",MI0019142,578,chr1,32086949,32087007,"+","-",""
"hsa-mir-5586",MI0019143,42.7,chr14,59646962,59647020,"-","-",""
"hsa-mir-5587",MI0019144,81,chr16,535316,535368,"+","-",""
"hsa-mir-5588",MI0019147,107,chr3,185253210,185253272,"-","-",""
"hsa-mir-5589",MI0019148,"-",chr19,10038354,10038413,"+","-",""
"hsa-mir-5590",MI0019150,"-",chr2,134857820,134857873,"+","-",""
"hsa-mir-5591",MI0019151,42.4,chr4,39411910,39411974,"+","-",""
"hsa-mir-5680",MI0019280,42,chr8,102125432,102125515,"+","-",""
"hsa-mir-5681a",MI0019281,37,chr8,74548543,74548617,"+","-",""
"hsa-mir-5681b",MI0019293,120,chr8,74548550,74548609,"-","-",""
"hsa-mir-5682",MI0019282,13.5,chr3,121049640,121049715,"+","-",""
"hsa-mir-5683",MI0019284,9.56,chr6,6169334,6169409,"+","-",""
"hsa-mir-5684",MI0019285,847,chr19,12787128,12787192,"+","-",""
"hsa-mir-5685",MI0019287,17.3,chr6,53276993,53277071,"+","-",""
"hsa-mir-5687",MI0019291,2.14,chr5,55508850,55508926,"-","-",""
"hsa-mir-5688",MI0019292,0.929,chr3,85385710,85385792,"+","-",""
"hsa-mir-5689",MI0019294,113,chr6,10439717,10439794,"+","-",""
"hsa-mir-5690",MI0019295,16.5,chr6,35664717,35664789,"-","-",""
"hsa-mir-5691",MI0019296,"-",chr11,9090312,9090379,"-","-",""
"hsa-mir-5692a-1",MI0019297,22.4,chr7,97963658,97963726,"+","-",""
"hsa-mir-5692a-2",MI0019298,11.6,chr8,12719132,12719190,"+","-",""
"hsa-mir-5692b",MI0019311,18.7,chr21,42950928,42951014,"-","-",""
"hsa-mir-5692c-1",MI0019288,22.2,chr5,135802985,135803075,"-","-",""
"hsa-mir-5692c-2",MI0019289,55.1,chr7,97964405,97964481,"-","-",""
"hsa-mir-5693",MI0019300,60.6,chr13,51348567,51348639,"-","-",""
"hsa-mir-5694",MI0019301,55,chr14,67441855,67441930,"-","-",""
"hsa-mir-5695",MI0019302,28.5,chr19,12920320,12920404,"+","-",""
"hsa-mir-5696",MI0019303,11.6,chr2,101309450,101309534,"+","-",""
"hsa-mir-5697",MI0019304,7.84,chr1,9967381,9967458,"+","-",""
"hsa-mir-5698",MI0019305,28,chr1,154104521,154104592,"-","-",""
"hsa-mir-5699",MI0019306,288,chr10,641689,641778,"-","-",""
"hsa-mir-5700",MI0019307,27.3,chr12,94561789,94561859,"+","-",""
"hsa-mir-5701-1",MI0019308,824,chr15,20940252,20940333,"+","-",""
"hsa-mir-5701-2",MI0019593,861,chr15,21513959,21514040,"+","-",""
"hsa-mir-5701-3",MI0031522,1.81,chr15,21951242,21951323,"+","-",""
"hsa-mir-5702",MI0019309,"-",chr2,226658710,226658793,"-","-",""
"hsa-mir-5703",MI0019310,184,chr2,227472132,227472187,"+","-",""
"hsa-mir-5704",MI0019312,17.3,chr3,131985855,131985931,"-","-",""
"hsa-mir-5705",MI0019313,86.4,chr4,87300495,87300583,"-","-",""
"hsa-mir-5706",MI0019314,15.2,chr5,119154637,119154716,"+","-",""
"hsa-mir-5707",MI0019315,17.3,chr7,158591616,158591696,"+","-",""
"hsa-mir-5708",MI0019316,290,chr8,80241389,80241473,"+","-",""
"hsa-mir-5739",MI0019412,112,chr22,28459869,28459948,"+","-",""
"hsa-mir-5787",MI0019797,171,chr3,50227436,50227490,"+","-",""
"hsa-mir-6068",MI0020345,"-",chr1,63326925,63326984,"-","-",""
"hsa-mir-6069",MI0020346,84.9,chr22,35336721,35336799,"-","-",""
"hsa-mir-6070",MI0020347,107,chr21,43609887,43609989,"-","-",""
"hsa-mir-6071",MI0020348,33.2,chr2,85783600,85783677,"-","-",""
"hsa-mir-6072",MI0020349,361,chr10,2076019,2076089,"-","-",""
"hsa-mir-6073",MI0020350,167,chr11,15969533,15969621,"-","-",""
"hsa-mir-6074",MI0020351,79.2,chr12,66023620,66023726,"-","-",""
"hsa-mir-6075",MI0020352,75.2,chr5,1510762,1510856,"-","-",""
"hsa-mir-6076",MI0020353,171,chr14,49966399,49966511,"+","-",""
"hsa-mir-6077",MI0020354,58.6,chr1,148388282,148388363,"+","-",""
"hsa-mir-6078",MI0020355,74.7,chr10,3991160,3991259,"+","-",""
"hsa-mir-6079",MI0020356,"-",chr1,43838622,43838683,"+","-",""
"hsa-mir-6080",MI0020357,40.6,chr17,64780759,64780824,"+","-",""
"hsa-mir-6081",MI0020358,21,chr9,95065350,95065446,"+","-",""
"hsa-mir-6082",MI0020359,21.3,chr4,171186184,171186292,"+","-",""
"hsa-mir-6083",MI0020360,61.7,chr3,124374332,124374437,"+","-",""
"hsa-mir-6084",MI0020361,671,chr1,20633679,20633788,"+","-",""
"hsa-mir-6085",MI0020362,103,chr15,62343029,62343138,"+","-",""
"hsa-mir-6086",MI0020363,64.5,chrX,13590292,13590346,"+","-",""
"hsa-mir-6087",MI0020364,"3.66e+03",chrX,109054542,109054590,"+","-",""
"hsa-mir-6088",MI0020365,393,chr19,45436654,45436704,"+","-",""
"hsa-mir-6089-1",MI0020366,350,chrX,2609191,2609254,"+","-",""
"hsa-mir-6089-2",MI0023563,350,chrY,2609191,2609254,"+","-",""
"hsa-mir-6090",MI0020367,172,chr11,128522390,128522449,"+","-",""
"hsa-mir-6124",MI0021258,211,chr11,12163683,12163767,"+","-",""
"hsa-mir-6125",MI0021259,427,chr12,62260359,62260454,"+","-",""
"hsa-mir-6126",MI0021260,"1.23e+03",chr16,3485381,3485469,"-","-",""
"hsa-mir-6127",MI0021271,450,chr1,22633258,22633366,"-","-",""
"hsa-mir-6128",MI0021272,113,chr11,56743873,56743981,"+","-",""
"hsa-mir-6129",MI0021274,265,chr17,49288346,49288454,"-","-",""
"hsa-mir-6130",MI0021275,"2.83e+03",chr21,23079284,23079392,"+","-",""
"hsa-mir-6131",MI0021276,213,chr5,10478037,10478145,"+","-",""
"hsa-mir-6132",MI0021277,74.9,chr7,117020211,117020319,"+","-",""
"hsa-mir-6133",MI0021278,330,chr7,133290881,133290988,"+","-",""
"hsa-mir-6134",MI0021279,107,chrX,28495555,28495663,"-","-",""
"hsa-mir-6165",MI0021472,136,chr17,49510817,49510900,"+","-",""
"hsa-mir-6499",MI0022209,290,chr5,151522087,151522148,"-","-",""
"hsa-mir-6500",MI0022211,59.9,chr1,51060018,51060103,"+","-",""
"hsa-mir-6501",MI0022213,40.8,chr21,33550662,33550728,"+","-",""
"hsa-mir-6502",MI0022214,23.7,chr12,66251082,66251157,"+","-",""
"hsa-mir-6503",MI0022215,91.8,chr11,60209071,60209156,"-","",""
"hsa-mir-6504",MI0022216,68.9,chr16,81611348,81611408,"+","-",""
"hsa-mir-6505",MI0022217,66.6,chr12,48132797,48132867,"+","-",""
"hsa-mir-6506",MI0022218,6.84,chr16,15611030,15611095,"-","-",""
"hsa-mir-6507",MI0022219,80.1,chr10,98924499,98924568,"-","-",""
"hsa-mir-6508",MI0022220,7.65,chr21,39447010,39447069,"+","-",""
"hsa-mir-6509",MI0022221,8.35,chr7,135206994,135207078,"-","-",""
"hsa-mir-6510",MI0022222,232,chr17,41517164,41517217,"-","-",""
"hsa-mir-6511a-1",MI0022223,114,chr16,14925937,14926003,"+","",""
"hsa-mir-6511a-2",MI0023564,106,chr16,16324588,16324654,"+","",""
"hsa-mir-6511a-3",MI0023565,116,chr16,16368876,16368942,"+","-",""
"hsa-mir-6511a-4",MI0023566,105,chr16,18344013,18344079,"-","",""
"hsa-mir-6511b-1",MI0022552,113,chr16,2106669,2106753,"-","-",""
"hsa-mir-6511b-2",MI0023431,"-",chr16,15134075,15134145,"-","-",""
"hsa-mir-6512",MI0022224,196,chr2,177313806,177313882,"-","-",""
"hsa-mir-6513",MI0022225,29.1,chr2,218280125,218280188,"-","-",""
"hsa-mir-6514",MI0022226,19.8,chr11,62792702,62792771,"-","-",""
"hsa-mir-6515",MI0022227,69.7,chr19,12940484,12940540,"+","-",""
"hsa-mir-6516",MI0025513,1.87,chr17,77089417,77089497,"+","-",""
"hsa-mir-6715a",MI0022548,25.6,chr10,112299612,112299690,"+","-",""
"hsa-mir-6715b",MI0022549,24,chr10,112299612,112299688,"-","-",""
"hsa-mir-6716",MI0022550,45.7,chr11,118644000,118644079,"+","-",""
"hsa-mir-6717",MI0022551,28.3,chr14,21023314,21023386,"-","-",""
"hsa-mir-6718",MI0022553,65,chr18,3885353,3885432,"+","-",""
"hsa-mir-6719",MI0022554,29.4,chr19,39829716,39829802,"-","-",""
"hsa-mir-6720",MI0022555,77.1,chr6,1390314,1390411,"-","-",""
"hsa-mir-6721",MI0022556,48.7,chr6,32170030,32170116,"-","-",""
"hsa-mir-6722",MI0022557,102,chr9,136746893,136746970,"-","-",""
"hsa-mir-6723",MI0022558,90.3,chr1,632325,632413,"-","-",""
"hsa-mir-6724-1",MI0022559,144,chr21,8205315,8205406,"+","-",""
"hsa-mir-6724-2",MI0031516,18.2,chr21,8249505,8249596,"+","-",""
"hsa-mir-6724-3",MI0031517,19.6,chr21,8388362,8388453,"+","-",""
"hsa-mir-6724-4",MI0031518,21.3,chr21,8432530,8432621,"+","-",""
"hsa-mir-6726",MI0022571,0.59,chr1,1296110,1296170,"-","-",""
"hsa-mir-6727",MI0022572,0.171,chr1,1312502,1312566,"-","-",""
"hsa-mir-6728",MI0022573,0.308,chr1,8866502,8866590,"-","-",""
"hsa-mir-6729",MI0022574,0.171,chr1,12029158,12029222,"+","-",""
"hsa-mir-6730",MI0022575,"-",chr1,12578957,12579023,"-","-",""
"hsa-mir-6731",MI0022576,0.2,chr1,24919345,24919416,"-","-",""
"hsa-mir-6732",MI0022577,0.2,chr1,37480230,37480289,"+","-",""
"hsa-mir-6733",MI0022578,0.365,chr1,43171652,43171712,"-","-",""
"hsa-mir-6734",MI0022579,2.2,chr1,43364648,43364715,"-","-",""
"hsa-mir-6735",MI0022580,0.602,chr1,43448539,43448611,"+","-",""
"hsa-mir-6736",MI0022581,1.06,chr1,145850587,145850645,"-","-",""
"hsa-mir-6737",MI0022582,"-",chr1,153962351,153962420,"-","-",""
"hsa-mir-6738",MI0022583,"-",chr1,155951273,155951336,"-","-",""
"hsa-mir-6739",MI0022584,0.238,chr1,201863373,201863447,"+","-",""
"hsa-mir-6740",MI0022585,0.511,chr1,202003124,202003236,"+","-",""
"hsa-mir-6741",MI0022586,0.16,chr1,225922080,225922142,"-","-",""
"hsa-mir-6742",MI0022587,0.171,chr1,228397048,228397109,"-","-",""
"hsa-mir-6743",MI0022588,0.666,chr11,209336,209406,"+","-",""
"hsa-mir-6744",MI0022589,0.666,chr11,1256605,1256670,"+","-",""
"hsa-mir-6745",MI0022590,0.16,chr11,47179611,47179737,"-","-",""
"hsa-mir-6746",MI0022591,"-",chr11,61878216,61878278,"-","-",""
"hsa-mir-6747",MI0022592,0.171,chr11,62567011,62567071,"-","-",""
"hsa-mir-6748",MI0022593,1.39,chr11,62789815,62789885,"+","-",""
"hsa-mir-6749",MI0022594,0.485,chr11,64902387,64902455,"-","-",""
"hsa-mir-6750",MI0022595,0.272,chr11,64898363,64898437,"-","-",""
"hsa-mir-6751",MI0022596,"-",chr11,65129916,65129978,"-","-",""
"hsa-mir-6752",MI0022597,0.645,chr11,67490245,67490315,"+","-",""
"hsa-mir-6753",MI0022598,0.893,chr11,68044794,68044957,"+","-",""
"hsa-mir-6754",MI0022599,0.748,chr11,71473503,71473568,"+","-",""
"hsa-mir-6755",MI0022600,0.993,chr11,86278333,86278398,"+","-",""
"hsa-mir-6756",MI0022601,1.37,chr11,119312950,119313012,"-","-",""
"hsa-mir-6757",MI0022602,"-",chr12,53056944,53057012,"+","-",""
"hsa-mir-6758",MI0022603,"-",chr12,57512688,57512750,"+","-",""
"hsa-mir-6759",MI0022604,0.271,chr12,57748618,57748682,"-","-",""
"hsa-mir-6760",MI0022605,0.444,chr12,111304142,111304209,"+","-",""
"hsa-mir-6761",MI0022606,6.72,chr12,111799834,111799905,"+","-",""
"hsa-mir-6762",MI0022607,0.308,chr12,113291523,113291608,"+","-",""
"hsa-mir-6763",MI0022608,0.2,chr12,132581997,132582061,"+","-",""
"hsa-mir-6764",MI0022609,0.284,chr14,100277357,100277417,"+","-",""
"hsa-mir-6765",MI0022610,"-",chr14,105150778,105150864,"-","-",""
"hsa-mir-6766",MI0022611,0.38,chr15,89326739,89326810,"-","-",""
"hsa-mir-6767",MI0022612,0.513,chr16,2445392,2445457,"+","-",""
"hsa-mir-6768",MI0022613,"-",chr16,2463967,2464038,"+","-",""
"hsa-mir-6769a",MI0022614,0.282,chr16,4671318,4671390,"+","-",""
"hsa-mir-6769b",MI0022706,"-",chr1,206474803,206474864,"+","-",""
"hsa-mir-6770-1",MI0022615,0.171,chr16,14930820,14930879,"+","-",""
"hsa-mir-6770-2",MI0026418,"-",chr16,16329305,16329364,"+","-",""
"hsa-mir-6770-3",MI0026419,0.63,chr16,18379351,18379410,"-","-",""
"hsa-mir-6771",MI0022616,0.272,chr16,50292616,50292675,"+","-",""
"hsa-mir-6772",MI0022617,0.401,chr16,57772289,57772352,"-","-",""
"hsa-mir-6773",MI0022618,"-",chr16,68233426,68233499,"-","-",""
"hsa-mir-6774",MI0022619,"-",chr16,85918347,85918416,"+","-",""
"hsa-mir-6775",MI0022620,0.171,chr16,87834592,87834660,"-","-",""
"hsa-mir-6776",MI0022621,"-",chr17,2692861,2692919,"-","-",""
"hsa-mir-6777",MI0022622,1.58,chr17,17813480,17813545,"-","-",""
"hsa-mir-6778",MI0022623,0.2,chr17,18340814,18340886,"-","-",""
"hsa-mir-6779",MI0022624,0.748,chr17,38914979,38915042,"+","-",""
"hsa-mir-6780a",MI0022625,0.269,chr17,42708084,42708151,"-","-",""
"hsa-mir-6780b",MI0022681,0.171,chr6,43434542,43434620,"+","-",""
"hsa-mir-6781",MI0022626,"-",chr17,42823880,42823943,"-","-",""
"hsa-mir-6782",MI0022627,"-",chr17,44207771,44207839,"-","-",""
"hsa-mir-6783",MI0022628,0.0977,chr17,44934618,44934681,"-","-",""
"hsa-mir-6784",MI0022629,0.282,chr17,45114367,45114433,"-","-",""
"hsa-mir-6785",MI0022630,0.451,chr17,75498548,75498628,"+","-",""
"hsa-mir-6786",MI0022631,1.6,chr17,81693757,81693869,"+","-",""
"hsa-mir-6787",MI0022632,"-",chr17,82236668,82236728,"+","-",""
"hsa-mir-6788",MI0022633,0.222,chr18,10759584,10759649,"-","-",""
"hsa-mir-6789",MI0022634,0.171,chr19,2235829,2235926,"-","-",""
"hsa-mir-6790",MI0022635,0.545,chr19,6392921,6392983,"-","-",""
"hsa-mir-6791",MI0022636,0.748,chr19,6736712,6736778,"-","-",""
"hsa-mir-6792",MI0022637,0.459,chr19,7617439,7617505,"+","-",""
"hsa-mir-6793",MI0022638,0.5,chr19,10828973,10829035,"+","-",""
"hsa-mir-6794",MI0022639,2.19,chr19,12852260,12852327,"+","-",""
"hsa-mir-6795",MI0022640,"-",chr19,15179283,15179350,"-","-",""
"hsa-mir-6796",MI0022641,0.171,chr19,40369846,40369907,"+","-",""
"hsa-mir-6797",MI0022642,0.211,chr19,41869627,41869698,"+","-",""
"hsa-mir-6798",MI0022643,0.797,chr19,49009906,49009972,"+","-",""
"hsa-mir-6799",MI0022644,"-",chr19,49791866,49791934,"+","-",""
"hsa-mir-6800",MI0022645,0.459,chr19,49832018,49832099,"+","-",""
"hsa-mir-6801",MI0022646,0.308,chr19,52222020,52222098,"+","-",""
"hsa-mir-6802",MI0022647,0.2,chr19,55239912,55239976,"-","-",""
"hsa-mir-6803",MI0022648,0.2,chr19,55245186,55245250,"-","-",""
"hsa-mir-6804",MI0022649,0.171,chr19,55230885,55230952,"-","-",""
"hsa-mir-6805",MI0022650,0.171,chr19,55388181,55388242,"+","-",""
"hsa-mir-6806",MI0022651,"-",chr19,58334688,58334751,"+","-",""
"hsa-mir-6807",MI0022652,0.53,chr19,58550285,58550376,"+","-",""
"hsa-mir-6808",MI0022653,0.222,chr1,1339650,1339708,"-","-",""
"hsa-mir-6809",MI0022654,1.43,chr2,217900513,217900628,"-","-",""
"hsa-mir-6810",MI0022655,0.896,chr2,218341911,218341980,"+","-",""
"hsa-mir-6811",MI0022656,0.195,chr2,237510931,237510988,"+","-",""
"hsa-mir-6812",MI0022657,"-",chr20,45425510,45425573,"+","-",""
"hsa-mir-6813",MI0022658,"-",chr20,64076955,64077010,"-","-",""
"hsa-mir-6814",MI0022659,"-",chr21,41746772,41746841,"-","-",""
"hsa-mir-6815",MI0022660,0.638,chr21,45478266,45478326,"+","-",""
"hsa-mir-6816",MI0022661,0.378,chr22,20114686,20114751,"-","-",""
"hsa-mir-6817",MI0022662,0.222,chr22,25455646,25455711,"+","-",""
"hsa-mir-6818",MI0022663,"-",chr22,30007049,30007113,"+","-",""
"hsa-mir-6819",MI0022664,"-",chr22,36286847,36286907,"-","-",""
"hsa-mir-6820",MI0022665,"-",chr22,37967563,37967624,"+","-",""
"hsa-mir-6821",MI0022666,0.528,chr22,49962866,49962939,"+","-",""
"hsa-mir-6822",MI0022667,0.59,chr3,39138206,39138266,"+","-",""
"hsa-mir-6823",MI0022668,0.197,chr3,48549961,48550021,"-","-",""
"hsa-mir-6824",MI0022669,"-",chr3,48633636,48633698,"-","-",""
"hsa-mir-6825",MI0022670,0.393,chr3,127575266,127575331,"-","-",""
"hsa-mir-6826",MI0022671,0.346,chr3,129272146,129272243,"+","-",""
"hsa-mir-6827",MI0022672,0.171,chr3,134367804,134367862,"-","-",""
"hsa-mir-6828",MI0022673,0.419,chr3,170423103,170423162,"+","-",""
"hsa-mir-6829",MI0022674,0.282,chr3,195882329,195882395,"-","-",""
"hsa-mir-6830",MI0022675,1.05,chr5,132217849,132217918,"-","-",""
"hsa-mir-6831",MI0022676,0.249,chr5,140563671,140563751,"-","-",""
"hsa-mir-6832",MI0022677,0.222,chr6,31633787,31633858,"+","-",""
"hsa-mir-6833",MI0022678,2.11,chr6,32179816,32179876,"+","-",""
"hsa-mir-6834",MI0022679,0.538,chr6,33290245,33290325,"+","-",""
"hsa-mir-6835",MI0022680,"-",chr6,34240673,34240736,"+","-",""
"hsa-mir-6836",MI0022682,0.748,chr7,2257515,2257577,"-","-",""
"hsa-mir-6837",MI0022683,1.79,chr7,44051766,44051829,"+","-",""
"hsa-mir-6838",MI0022684,0.2,chr7,44073378,44073433,"-","-",""
"hsa-mir-6839",MI0022685,1.23,chr7,64679064,64679176,"+","-",""
"hsa-mir-6840",MI0022686,0.596,chr7,100356651,100356721,"+","-",""
"hsa-mir-6841",MI0022687,4.66,chr8,24953796,24953867,"-","-",""
"hsa-mir-6842",MI0022688,0.727,chr8,27433370,27433434,"+","-",""
"hsa-mir-6843",MI0022689,0.222,chr8,27610601,27610751,"-","-",""
"hsa-mir-6844",MI0022690,0.211,chr8,124508515,124508576,"-","-",""
"hsa-mir-6845",MI0022691,0.2,chr8,143837756,143837816,"-","-",""
"hsa-mir-6846",MI0022692,0.393,chr8,144057321,144057380,"-","-",""
"hsa-mir-6847",MI0022693,0.342,chr8,144079874,144079942,"+","-",""
"hsa-mir-6848",MI0022694,0.444,chr8,144317246,144317315,"-","-",""
"hsa-mir-6849",MI0022695,1.5,chr8,144400277,144400345,"-","-",""
"hsa-mir-6850",MI0022696,"-",chr8,144791931,144791991,"-","-",""
"hsa-mir-6851",MI0022697,0.342,chr9,33467869,33467935,"-","-",""
"hsa-mir-6852",MI0022698,0.0977,chr9,35710676,35710741,"-","-",""
"hsa-mir-6853",MI0022699,"-",chr9,35732922,35732995,"+","-",""
"hsa-mir-6854",MI0022700,0.171,chr9,98229149,98229217,"-","-",""
"hsa-mir-6855",MI0022701,"-",chr9,129869605,129869671,"+","-",""
"hsa-mir-6856",MI0022702,"-",chr9,130626297,130626363,"+","-",""
"hsa-mir-6857",MI0022703,"-",chrX,53405673,53405765,"-","-",""
"hsa-mir-6858",MI0022704,0.444,chrX,154450320,154450386,"+","-",""
"hsa-mir-6859-1",MI0022705,0.322,chr1,17369,17436,"-","-",""
"hsa-mir-6859-2",MI0026420,0.53,chr1,187891,187958,"-","-",""
"hsa-mir-6859-3",MI0026421,0.222,chr15,101973524,101973591,"+","-",""
"hsa-mir-6859-4",MI0031521,4.59,chr16,17052,17119,"-","-",""
"hsa-mir-6860",MI0022707,1.96,chr11,67045643,67045708,"+","-",""
